id,lang_name,word,japanese
348,en,letter,文字
349,en,four,四
350,en,wish,願い
351,en,fire,火
352,en,cried,泣きました
353,en,2,2
354,en,women,女子
355,en,speak,話す
356,en,number,数
357,en,therefore,故に
358,en,hour,時間
359,en,friends,友人
360,en,held,開催
361,en,free,自由
362,en,war,戦争
363,en,during,間に
364,en,several,いくつかの
365,en,business,ビジネス
366,en,whether,かどうか
367,en,er,えー
368,en,manner,やり方
369,en,second,第2
370,en,reason,理由
371,en,replied,答え
372,en,united,ユナイテッド
373,en,call,コール
374,en,general,一般的な
375,en,why,なぜ
376,en,behind,後ろに
377,en,became,なりました
378,en,john,ジョン
379,en,become,なります
380,en,dead,デッド
381,en,earth,地球
382,en,boy,男の子
383,en,lost,失われました
384,en,forth,前方へ
385,en,thousand,千
386,en,looking,見ること
387,en,I'll,I'LL
388,en,family,家族
389,en,soul,魂
390,en,feel,感じます
391,en,coming,到来
392,en,England,イングランド
393,en,spirit,精神
394,en,question,質問
395,en,care,お手入れ
396,en,truth,真実
397,en,ground,接地
398,en,really,本当に
399,en,rest,残り
400,en,mean,平均
401,en,different,異なります
402,en,making,作成
403,en,possible,可能
404,en,fell,落ちました
405,en,towards,向かって
406,en,human,人間
407,en,kept,保管
408,en,short,ショート
409,en,town,町
410,en,following,以下
411,en,need,必要
412,en,cause,原因
413,en,met,MET
414,en,evening,イブニング
415,en,returned,戻ってきた
416,en,five,五
417,en,strong,強い
418,en,able,できます
419,en,french,フランス語
420,en,live,住む
421,en,lady,レディ
422,en,subject,主題
423,en,sn,SN
424,en,answer,回答
425,en,sea,海
426,en,fear,恐れ
427,en,understand,理解する
428,en,hard,ハード
429,en,terms,条項
430,en,doubt,疑問に思う
431,en,around,周りに
432,en,ask,頼みます
433,en,arms,武器
434,en,turn,順番
435,en,sense,感覚
436,en,seems,そうです
437,en,black,黒
438,en,bring,持って来ます
439,en,followed,続きます
440,en,beautiful,綺麗な
441,en,close,閉じる
442,en,dark,闇
443,en,hold,ホールド
444,en,character,キャラクター
445,en,sort,ソート
446,en,sight,視力
447,en,ten,十
448,en,show,公演
449,en,party,パーティー
450,en,fine,罰金
451,en,ye,あなたがた
452,en,ready,準備ができて
453,en,story,物語
454,en,common,一般
455,en,book,本
456,en,electronic,電子
457,en,talk,トーク
458,en,account,アカウント
459,en,mark,マーク
460,en,interest,関心
461,en,written,書かれました
462,en,can't,できません
463,en,bed,ベッド
464,en,necessary,必要
465,en,age,年齢
466,en,else,そうしないと
467,en,force,力
468,en,idea,考え
469,en,longer,より長いです
470,en,art,アート
471,en,spoke,話した
472,en,across,横切って
473,en,brother,兄
474,en,early,早いです
475,en,ought,べき
476,en,sometimes,時々
477,en,line,ライン
478,en,saying,格言
479,en,table,テーブル
480,en,appeared,登場
481,en,river,川
482,en,continued,続け
483,en,eye,眼
484,en,ety,ETY
485,en,sun,太陽
486,en,information,情報
487,en,later,後
488,en,everything,すべて
489,en,reached,達しました
490,en,suddenly,突然
491,en,past,過去
492,en,hours,時間
493,en,strange,奇妙
494,en,deep,深い
495,en,change,変化する
496,en,miles,マイル
497,en,feeling,感じ
498,en,act,行為
499,en,meet,会います
500,en,paid,支払いました
501,en,further,さらに
502,en,purpose,目的
503,en,happy,ハッピー
504,en,added,追加
505,en,seem,思われる
506,en,taking,撮影
507,en,blood,血液
508,en,rose,ローズ
509,en,south,南
510,en,beyond,超えて
511,en,cold,コールド
512,en,neither,どちらもありません
513,en,forward,前方に
514,en,view,見る
515,en,I've,Iのき
516,en,position,ポジション
517,en,sound,音
518,en,none,無し
519,en,entered,入力されました
520,en,clear,晴れ
521,en,road,道路
522,en,late,遅く
523,en,stand,スタンド
524,en,suppose,思います
525,en,la,ラ
526,en,daughter,娘
527,en,real,リアル
528,en,nearly,ほとんど
529,en,mine,私の
530,en,laws,法制
531,en,knowledge,知識
532,en,comes,来ます
533,en,toward,方へ
534,en,bad,悪い
535,en,cut,切る
536,en,copy,コピー
537,en,husband,夫
538,en,six,六
539,en,France,フランス
540,en,living,生活
541,en,peace,平和
542,en,didn't,しませんでした
543,en,low,低いです
544,en,north,北
545,en,remember,思い出します
546,en,effect,効果
547,en,natural,ナチュラル
548,en,pretty,可愛い
549,en,fall,秋
550,en,fair,公正な
551,en,service,サービス
552,en,below,未満
553,en,except,除きます
554,en,American,アメリカン
555,en,hair,ヘア
556,en,London,ロンドン
557,en,laid,レイド
558,en,pass,パス
559,en,led,導いた
560,en,copyright,著作権
561,en,doing,やっ
562,en,army,軍
563,en,run,ラン
564,en,horse,うま
565,en,future,未来
566,en,opened,開かれました
567,en,pleasure,喜び
568,en,history,歴史
569,en,west,西
570,en,pay,支払う
571,en,red,赤
572,en,an',」
573,en,4,4
574,en,hath,かれら
575,en,note,注意
576,en,although,であるが
577,en,wanted,欲しいです
578,en,gold,ゴールド
579,en,makes,MAKES
580,en,desire,慾望
581,en,play,演奏する
582,en,master,主人
583,en,office,オフィス
584,en,tried,試してみました
585,en,front,前面
586,en,big,大きい
587,en,Dr,博士
588,en,lived,住んでいました
589,en,certainly,もちろん
590,en,wind,風
591,en,receive,受け取ります
592,en,attention,注意
593,en,government,政府
594,en,unto,わたし
595,en,church,教会
596,en,strength,力
597,en,length,長さ
598,en,company,会社
599,en,placed,置いた
600,en,paper,論文
601,en,letters,手紙
602,en,probably,恐らく
603,en,glad,嬉しいです
604,en,important,重要
605,en,especially,特に
606,en,greater,大きいです
607,en,yourself,自分自身
608,en,fellow,仲間
609,en,bear,くま
610,en,opinion,意見
611,en,window,窓
612,en,ran,RAN
613,en,faith,信仰
614,en,ago,前
615,en,agreement,契約
616,en,charge,充電
617,en,beauty,美しさ
618,en,lips,唇
619,en,remained,残りました
620,en,arm,腕
621,en,latter,後者
622,en,duty,関税
623,en,send,送信
624,en,distance,距離
625,en,silence,沈黙
626,en,foot,足
627,en,wild,野生
628,en,object,オブジェクト
629,en,die,死にます
630,en,save,セーブ
631,en,gentleman,紳士
632,en,trees,木
633,en,green,緑
634,en,trouble,トラブル
635,en,smile,スマイル
636,en,books,図書
637,en,wrong,違う
638,en,various,諸
639,en,sleep,睡眠
640,en,persons,人
641,en,blockquote,BLOCKQUOTE
642,en,happened,起こりました
643,en,particular,特定の
644,en,drew,ドリュー
645,en,minutes,分
646,en,hardly,漸く
647,en,walked,歩きました
648,en,chief,チーフ
649,en,chance,機会
650,en,according,従っ
651,en,beginning,初め
652,en,action,アクション
653,en,deal,対処
654,en,loved,愛し
655,en,visit,訪問
656,en,thinking,考え
657,en,follow,従います
658,en,standing,常任
659,en,knows,知っています
660,en,try,試します
661,en,presence,プレゼンス
662,en,heavy,ヘビー
663,en,sweet,甘い
664,en,plain,平野
665,en,donations,寄付
666,en,immediately,直ちに
667,en,wrote,書きました
668,en,mouth,口
669,en,rich,リッチ
670,en,thoughts,感想
671,en,months,ヶ月
672,en,u,U
673,en,won't,しません
674,en,afraid,恐れ
675,en,Paris,パリ
676,en,single,シングル
677,en,joy,喜び
678,en,enemy,敵
679,en,broken,壊れた
680,en,unless,ない限り、
681,en,states,状態
682,en,ship,輸送する
683,en,condition,調子
684,en,carry,運ぶ
685,en,exclaimed,叫びました
686,en,including,含みます
687,en,filled,いっぱい
688,en,seeing,見て
689,en,influence,影響
690,en,write,書く
691,en,boys,少年たち
692,en,appear,現れる
693,en,outside,外側
694,en,secret,秘密の
695,en,parts,部品
696,en,please,お願いします
697,en,appearance,外観
698,en,evil,悪の
699,en,march,行進
700,en,George,ジョージ
701,en,whatever,なんでも
702,en,slowly,ゆっくり
703,en,tears,涙
704,en,horses,馬
705,en,places,場所
706,en,caught,キャッチ
707,en,stay,滞在
708,en,instead,その代わり
709,en,struck,打た
710,en,blue,青
711,en,York,ニューヨーク
712,en,impossible,不可能
713,en,period,限目
714,en,sister,シスター
715,en,battle,戦い
716,en,school,学校
717,en,Mary,メアリー
718,en,raised,調達
719,en,occasion,時
720,en,married,既婚
721,en,man's,男性の
722,en,former,前者
723,en,food,食物
724,en,youth,若者
725,en,learned,学びました
726,en,merely,単に
727,en,reach,リーチ
728,en,system,システム
729,en,twenty,二十
730,en,dinner,晩ごはん
731,en,quiet,静か
732,en,easily,簡単に
733,en,moved,移動
734,en,afterwards,その後
735,en,giving,与え
736,en,walk,歩く
737,en,stopped,停止
738,en,laughed,笑いました
739,en,language,言語
740,en,expression,表現
741,en,week,週間
742,en,hall,ホール
743,en,danger,危険
744,en,property,プロパティ
745,en,wonder,ワンダー
746,en,usual,一般
747,en,figure,フィギュア
748,en,born,生まれ
749,en,court,裁判所
750,en,generally,概して
751,en,grew,育った
752,en,showed,示しました
753,en,getting,取得
754,en,ancient,古代
755,en,respect,尊敬
756,en,third,第三
757,en,worth,価値
758,en,simple,シンプル
759,en,tree,木
760,en,leaving,退出
761,en,remain,残ります
762,en,society,社会
763,en,fight,戦い
764,en,wall,壁
765,en,result,結果
766,en,heaven,天国
767,en,William,ウィリアム
768,en,started,開始
769,en,command,コマンド
770,en,tone,トーン
771,en,regard,について
772,en,expected,予想
773,en,mere,ほんの
774,en,month,月
775,en,beside,横
776,en,silent,サイレント
777,en,perfect,パーフェクト
778,en,experience,経験
779,en,street,通り
780,en,writing,書き込み
781,en,goes,行きます
782,en,circumstances,状況
783,en,entirely,全く
784,en,fresh,新鮮な
785,en,duke,公爵
786,en,covered,カバー
787,en,bound,バウンド
788,en,east,東
789,en,wood,木材
790,en,stone,結石
791,en,quickly,早く
792,en,notice,通知
793,en,bright,明るい
794,en,Christ,キリスト
795,en,boat,ボート
796,en,noble,ノーブル
797,en,meant,意味した
798,en,somewhat,幾分
799,en,sudden,突然
800,en,value,値
801,en,c.,C。
802,en,direction,方向
803,en,chair,椅子
804,en,due,原因
805,en,support,サポート
806,en,tom,トム
807,en,date,日付
808,en,waiting,待機
809,en,Christian,キリスト教徒
810,en,village,村
811,en,lives,生活
812,en,reading,読書
813,en,agree,一致します
814,en,lines,ライン
815,en,considered,考えます
816,en,field,フィールド
817,en,observed,観測されました
818,en,scarcely,ほとんどありません
819,en,wished,欲しいです
820,en,wait,待つ
821,en,greatest,最高の
822,en,permission,許可
823,en,success,成功
824,en,piece,ピース
825,en,British,英国人
826,en,ex,EX
827,en,Charles,チャールズ
828,en,formed,形成され
829,en,speaking,話し中
830,en,trying,しよう
831,en,conversation,会話
832,en,proper,適切な
833,en,hill,丘
834,en,music,音楽
835,en,opportunity,機会
836,en,that's,こと
837,en,German,ドイツ人
838,en,afternoon,午後
839,en,cry,泣く
840,en,cost,費用
841,en,allowed,許可
842,en,girls,女の子
843,en,considerable,かなりの
844,en,c,C
845,en,broke,壊れました
846,en,honour,名誉
847,en,seven,セブン
848,en,private,民間
849,en,sit,SIT
850,en,news,ニュース
851,en,top,上
852,en,scene,シーン
853,en,discovered,発見
854,en,marriage,結婚
855,en,step,ステップ
856,en,garden,庭園
857,en,race,人種
858,en,begin,ベギン
859,en,per,あたり
860,en,individual,個人
861,en,sitting,座っ
862,en,learn,学びます
863,en,political,政治的
864,en,difficult,難しいです
865,en,bit,ビット
866,en,speech,スピーチ
867,en,Henry,ヘンリー
868,en,lie,横たわる
869,en,cast,キャスト
870,en,eat,食べる
871,en,authority,権限
872,en,etc.,等
873,en,floor,床
874,en,ill,病気で
875,en,ways,方法
876,en,officers,役員
877,en,offered,提供
878,en,original,元の
879,en,happiness,幸福
880,en,flowers,フラワーズ
881,en,produced,生産
882,en,summer,夏
883,en,provide,供給する
884,en,study,調査
885,en,religion,宗教
886,en,picture,画像
887,en,walls,壁
888,en,personal,個人的な
889,en,America,アメリカ
890,en,watch,見る
891,en,pleased,喜んで
892,en,leaves,葉
893,en,declared,宣言
894,en,hot,ホット
895,en,understood,理解
896,en,effort,努力
897,en,prepared,準備
898,en,escape,逃れる
899,en,attempt,試み
900,en,supposed,なっ
901,en,killed,殺されました
902,en,fast,速いです
903,en,author,著者
904,en,Indian,インディアン
905,en,brown,褐色
906,en,determined,決定
907,en,pain,痛み
908,en,spring,春
909,en,takes,とり
910,en,drawn,描かれました
911,en,soldiers,兵隊
912,en,houses,家
913,en,beneath,下に
914,en,talking,語り
915,en,turning,旋回
916,en,century,世紀
917,en,steps,ステップ
918,en,intended,意図されました
919,en,soft,柔らかい
920,en,straight,まっすぐ
921,en,matters,事項
922,en,likely,恐らく
923,en,corner,コーナー
924,en,trademark,商標
925,en,justice,正義
926,en,simply,単に
927,en,produce,作物
928,en,trust,信頼
929,en,appears,表示されます
930,en,Rome,ローマ
931,en,laugh,笑い
932,en,forget,忘れる
933,en,Europe,ヨーロッパ
934,en,passage,通路
935,en,eight,8
936,en,closed,閉まっている
937,en,ourselves,自分自身
938,en,gives,提供します
939,en,dress,ドレス
940,en,passing,通過
941,en,terrible,ひどいです
942,en,required,必須
943,en,medium,中
944,en,efforts,尽力
945,en,sake,酒
946,en,breath,呼吸
947,en,wise,賢い
948,en,ladies,女性
949,en,possession,所持
950,en,pleasant,楽しいです
951,en,perfectly,完全に
952,en,o',O」
953,en,memory,メモリ
954,en,usually,通常
955,en,grave,墓
956,en,fixed,修繕
957,en,modern,近代的
958,en,spot,スポット
959,en,troops,軍
960,en,rise,上がり
961,en,break,ブレーク
962,en,fifty,五十
963,en,island,島
964,en,meeting,会議
965,en,camp,キャンプ
966,en,nation,国家
967,en,existence,存在
968,en,reply,応答
969,en,I'd,私は思います
970,en,copies,コピー
971,en,sky,空
972,en,touch,接する
973,en,equal,等しい
974,en,fortune,幸運
975,en,v.,V。
976,en,shore,岸
977,en,domain,ドメイン
978,en,named,命名
979,en,situation,状況
980,en,looks,ルックス
981,en,promise,約束する
982,en,orders,受注
983,en,degree,程度
984,en,middle,中間
985,en,winter,冬
986,en,plan,予定
987,en,spent,過ごし
988,en,allow,許します
989,en,pale,淡いです
990,en,conduct,行動
991,en,running,ランニング
992,en,religious,宗教的な
993,en,surprise,驚き
994,en,minute,分
995,en,roman,ローマン
996,en,cases,ケース
997,en,shot,ショット
998,en,lead,鉛
999,en,move,動き
1000,en,names,名
1001,en,stop,停止
1002,en,higher,より高いです
1003,en,et,ら
1004,en,father's,父の
1005,en,threw,投げました
1006,en,worse,さらに悪いです
1007,en,built,構築されました
1008,en,spoken,話した
1009,en,glass,ガラス
1010,en,board,ボード
1011,en,vain,うぬぼれが強い
1012,en,affairs,業務
1013,en,instance,インスタンス
1014,en,safe,安全
1015,en,loss,損失
1016,en,doctor,医師
1017,en,offer,提供
1018,en,class,クラス
1019,en,complete,コンプリート
1020,en,access,アクセス
1021,en,lower,下
1022,en,wouldn't,ではないだろう
1023,en,repeated,繰り返し
1024,en,forms,フォーム
1025,en,darkness,闇
1026,en,military,軍事的
1027,en,warm,暖かいです
1028,en,drink,ドリンク
1029,en,passion,情熱
1030,en,ones,もの
1031,en,physical,物理的
1032,en,example,例
1033,en,ears,耳
1034,en,questions,質問
1035,en,start,開始
1036,en,lying,横たわります
1037,en,smiled,笑っ
1038,en,keeping,キープ
1039,en,spite,悪意
1040,en,shown,示します
1041,en,directly,直接
1042,en,james,ジェームス
1043,en,hart,ハート
1044,en,serious,深刻
1045,en,hat,帽子
1046,en,dog,犬
1047,en,silver,銀
1048,en,sufficient,十分
1049,en,main,メイン
1050,en,mentioned,言及
1051,en,servant,サーバント
1052,en,pride,誇り
1053,en,crowd,群集
1054,en,train,列車
1055,en,wonderful,素晴らしい
1056,en,moral,道徳の
1057,en,instant,インスタント
1058,en,associated,関連しました
1059,en,path,道
1060,en,greek,ギリシャ語
1061,en,meaning,意味
1062,en,fit,フィット
1063,en,ordered,順序付けられました
1064,en,lot,たくさん
1065,en,he's,彼は
1066,en,proved,証明
1067,en,obliged,義務づけ
1068,en,enter,入る
1069,en,rule,ルール
1070,en,sword,剣
1071,en,attack,攻撃
1072,en,seat,シート
1073,en,game,ゲーム
1074,en,health,健康
1075,en,paragraph,段落
1076,en,statement,ステートメント
1077,en,social,ソーシャル
1078,en,refund,返金
1079,en,sorry,ごめんなさい
1080,en,courage,勇気
1081,en,members,メンバー
1082,en,grace,優美
1083,en,official,公式
1084,en,dream,夢
1085,en,worthy,価値があります
1086,en,rock,岩
1087,en,jack,ジャック
1088,en,provided,提供
1089,en,special,特別
1090,en,shook,横に振りました
1091,en,request,リクエスト
1092,en,mighty,強いです
1093,en,glance,一目
1094,en,heads,頭
1095,en,movement,移動
1096,en,fee,費用
1097,en,share,シェア
1098,en,expect,期待します
1099,en,couldn't,できませんでした
1100,en,dollars,ドル
1101,en,spread,展開する
1102,en,opposite,逆の
1103,en,glory,栄光
1104,en,twelve,12
1105,en,space,スペース
1106,en,engaged,従事して
1107,en,peter,ピーター
1108,en,wine,ワイン
1109,en,ordinary,一般
1110,en,mountains,山岳
1111,en,taste,味
1112,en,iron,鉄
1113,en,isn't,ありません
1114,en,distribute,分配します
1115,en,trade,トレード
1116,en,consider,考えます
1117,en,greatly,大幅に
1118,en,accepted,容認されました
1119,en,forced,強制
1120,en,advantage,利点
1121,en,ideas,考え
1122,en,decided,決定しました
1123,en,using,使用して
1124,en,officer,役員
1125,en,rate,割合
1126,en,clothes,服
1127,en,sign,符号
1128,en,feelings,思い
1129,en,native,ネイティブ
1130,en,promised,約束しました
1131,en,judge,裁判官
1132,en,difference,差
1133,en,working,ワーキング
1134,en,anxious,心配して
1135,en,marry,結婚します
1136,en,captain,キャプテン
1137,en,finished,完成
1138,en,extent,エクステント
1139,en,watched,見て
1140,en,curious,奇妙な
1141,en,foreign,外国の
1142,en,besides,さらに
1143,en,method,方法
1144,en,excellent,優れた
1145,en,confidence,信頼
1146,en,marked,マークされた
1147,en,em,全角
1148,en,jesus,イエス
1149,en,exactly,丁度
1150,en,importance,重要性
1151,en,finally,最後に
1152,en,bill,ビル
1153,en,vast,莫大
1154,en,prove,証明します
1155,en,fancy,ファンシー
1156,en,quick,速いです
1157,en,yes,はい
1158,en,sought,求め
1159,en,prevent,防ぐ
1160,en,neck,首
1161,en,hearts,ハーツ
1162,en,liberty,自由
1163,en,interesting,面白い
1164,en,sides,両側
1165,en,legal,法的
1166,en,gentlemen,諸君
1167,en,dry,ドライ
1168,en,serve,サーブ
1169,en,aside,さておき
1170,en,pure,ピュア
1171,en,concerning,について
1172,en,forgotten,忘れ
1173,en,lose,失う
1174,en,powers,権力
1175,en,possessed,保有
1176,en,thrown,スロー
1177,en,evidence,証拠
1178,en,distant,遠く
1179,en,Michael,マイケル
1180,en,progress,進捗
1181,en,similar,同様の
1182,en,narrow,狭い
1183,en,altogether,全く
1184,en,building,建物
1185,en,page,ページ
1186,en,particularly,特に
1187,en,knowing,知ること
1188,en,weeks,週間
1189,en,settled,定住
1190,en,holding,ホールディング
1191,en,mountain,山
1192,en,search,探す
1193,en,sad,悲しい
1194,en,sin,罪
1195,en,lies,嘘
1196,en,proud,誇りに思う
1197,en,pieces,作品
1198,en,clearly,はっきり
1199,en,price,価格
1200,en,ships,船
1201,en,thirty,30
1202,en,sick,病気
1203,en,honest,正直な
1204,en,shut,シャット
1205,en,talked,話を聞きました
1206,en,bank,バンク
1207,en,fate,運命
1208,en,dropped,ドロップ
1209,en,judgment,判定
1210,en,conditions,条件
1211,en,king's,王さん
1212,en,accept,受け入れます
1213,en,hills,丘
1214,en,removed,削除
1215,en,forest,森林
1216,en,measure,対策
1217,en,species,種
1218,en,seek,求める
1219,en,highest,最高
1220,en,otherwise,さもないと
1221,en,stream,ストリーム
1222,en,honor,名誉
1223,en,carefully,注意深く
1224,en,obtained,得られ
1225,en,ear,耳
1226,en,bread,パン
1227,en,bottom,ボトム
1228,en,additional,追加
1229,en,presented,提示
1230,en,aid,援助
1231,en,fingers,指
1232,en,q,Q
1233,en,remembered,思い出しました
1234,en,choose,選択
1235,en,agreed,合意
1236,en,animal,動物
1237,en,events,イベント
1238,en,there's,あります
1239,en,fully,十分
1240,en,delight,喜び
1241,en,rights,権利
1242,en,amount,量
1243,en,obtain,入手します
1244,en,tax,税金
1245,en,servants,公務員
1246,en,sons,息子
1247,en,cross,クロス
1248,en,shoulders,肩
1249,en,thick,厚い
1250,en,points,点数
1251,en,stranger,ストレンジャー
1252,en,woods,森
1253,en,facts,事実
1254,en,dare,挑戦
1255,en,grow,育ちます
1256,en,creature,生物
1257,en,hung,ハング
1258,en,rain,雨
1259,en,FALSE,FALSE
1260,en,tall,背が高いです
1261,en,gate,ゲート
1262,en,nations,国
1263,en,created,作成した
1264,en,refused,拒否しました
1265,en,quietly,静かに
1266,en,surface,表面
1267,en,freely,自由に
1268,en,holy,聖なる
1269,en,streets,街
1270,en,blow,ブロー
1271,en,july,七月
1272,en,regarded,考え
1273,en,fashion,ファッション
1274,en,report,報告書
1275,en,coast,海岸
1276,en,daily,日々
1277,en,file,ファイル
1278,en,shoulder,ショルダー
1279,en,surprised,驚きました
1280,en,faces,顔
1281,en,succeeded,成功しました
1282,en,birds,鳥類
1283,en,distribution,分布
1284,en,royal,王立
1285,en,song,歌
1286,en,wealth,富
1287,en,comfort,快適さ
